供应商ID,材料分类,总供货量,活跃度,稳定性,可靠性,充足率,TOPSIS得分,材料权重,最终得分,排名
S047,B,66.0,0.11666666666666667,0.0999000999000999,0.20224719101123595,0.0,0.006482684350371699,1.2,0.007779221220446039,282
S032,C,71.0,0.125,0.0999000999000999,0.390625,0.0,0.007749511040607349,1.0,0.007749511040607349,283
S056,A,28.0,0.07083333333333333,0.0999000999000999,0.29545454545454547,0.0,0.004788931016992958,1.6,0.007662289627188733,284
S020,C,72.0,0.1375,0.0999000999000999,0.23595505617977527,0.0,0.00766167413942878,1.0,0.00766167413942878,285
S061,C,84.0,0.125,0.0999000999000999,0.373134328358209,0.0,0.007654673707837093,1.0,0.007654673707837093,286
S171,C,72.0,0.12083333333333333,0.0999000999000999,0.3968253968253968,0.0,0.007595485255003933,1.0,0.007595485255003933,287
S325,C,73.0,0.12083333333333333,0.0999000999000999,0.39344262295081966,0.0,0.007576126339623533,1.0,0.007576126339623533,288
S391,C,70.0,0.12916666666666668,0.0999000999000999,0.3037974683544304,0.0,0.007511243008493345,1.0,0.007511243008493345,289
S326,C,82.0,0.125,0.0999000999000999,0.3387096774193548,0.0,0.007476190483648261,1.0,0.007476190483648261,290
S107,C,69.0,0.12083333333333333,0.0999000999000999,0.36507936507936506,0.0,0.007417890877393631,1.0,0.007417890877393631,291
S220,C,70.0,0.11666666666666667,0.0999000999000999,0.3870967741935484,0.0,0.007351759093908602,1.0,0.007351759093908602,292
S043,A,39.0,0.075,0.0999000999000999,0.22058823529411764,0.0,0.004509907756118556,1.6,0.00721585240978969,293
S285,A,35.0,0.07916666666666666,0.0999000999000999,0.17721518987341772,0.0,0.004496591599985984,1.6,0.007194546559977574,294
S057,B,50.0,0.09166666666666666,0.0999000999000999,0.3448275862068966,0.0,0.005993340513640723,1.2,0.007192008616368867,295
S347,C,82.0,0.11666666666666667,0.0999000999000999,0.34782608695652173,0.0,0.007132692581633518,1.0,0.007132692581633518,296
S288,A,30.0,0.05416666666666667,0.0999000999000999,0.3333333333333333,0.0,0.004452878543873592,1.6,0.007124605670197748,297
S001,B,49.0,0.10416666666666667,0.0999000999000999,0.2087912087912088,0.0,0.005873057125403733,1.2,0.007047668550484479,298
S041,C,71.0,0.11666666666666667,0.0999000999000999,0.3225806451612903,0.0,0.007000053043117809,1.0,0.007000053043117809,299
S385,B,53.0,0.1,0.0999000999000999,0.24390243902439024,0.0,0.0058179480894534055,1.2,0.006981537707344086,300
S371,B,54.0,0.1,0.0999000999000999,0.24285714285714285,0.0,0.005813140266795798,1.2,0.0069757683201549575,301
S015,A,28.0,0.0625,0.0999000999000999,0.2777777777777778,0.0,0.004327460279822318,1.6,0.0069239364477157095,302
S281,A,36.0,0.0625,0.0999000999000999,0.2653061224489796,0.0,0.004239675702314301,1.6,0.006783481123702882,303
